generation,max_fitness,mean_fitness,max_links,mean_links
0,10.002331829990814,10.000783541958047,10,6.4
1,10.002331829990814,10.000327477109275,10,6.4
2,10.002331829990814,10.000469274737593,7,4.8
3,10.002331829990814,10.000327713127705,5,4.4
4,10.004405765683346,10.001243352468165,5,2.8
5,10.004405765683346,10.000742264247782,3,1.6
6,10.004405765683346,10.000742264247782,3,1.6
7,10.004405765683346,10.001564042138538,3,2.0
8,10.006045134994993,10.001986013469002,3,2.0
9,10.006045134994993,10.002290103482933,3,2.2
